500039680 tokens | train_loss=4.3682 | val_loss=5.9329
1000013824 tokens | train_loss=3.7930 | val_loss=4.8054
1500053504 tokens | train_loss=4.0239 | val_loss=3.3115
2000027648 tokens | train_loss=3.5179 | val_loss=3.6028
2500001792 tokens | train_loss=3.6262 | val_loss=3.7657
3000041472 tokens | train_loss=3.8322 | val_loss=3.7262
3500015616 tokens | train_loss=4.0174 | val_loss=3.0760
4000055296 tokens | train_loss=3.3505 | val_loss=3.4602
4500029440 tokens | train_loss=3.3021 | val_loss=3.4917
5000003584 tokens | train_loss=3.6956 | val_loss=3.0472
5500043264 tokens | train_loss=3.6425 | val_loss=3.1644
6000017408 tokens | train_loss=3.4111 | val_loss=3.4948
6500057088 tokens | train_loss=3.1462 | val_loss=3.5770
7000031232 tokens | train_loss=3.6919 | val_loss=3.2803
7500005376 tokens | train_loss=3.2676 | val_loss=3.0159
8000045056 tokens | train_loss=3.2647 | val_loss=3.3410
8500019200 tokens | train_loss=3.4794 | val_loss=3.3614
9000058880 tokens | train_loss=3.9164 | val_loss=3.1063
9500033024 tokens | train_loss=3.3577 | val_loss=3.2811
10000007168 tokens | train_loss=3.3430 | val_loss=3.4354
10500046848 tokens | train_loss=3.2289 | val_loss=3.5576
11000020992 tokens | train_loss=3.9752 | val_loss=3.0480
11500060672 tokens | train_loss=3.0837 | val_loss=3.6024
12000034816 tokens | train_loss=3.2107 | val_loss=3.0808
12500008960 tokens | train_loss=3.3986 | val_loss=2.8541
13000048640 tokens | train_loss=3.5818 | val_loss=2.9916
13500022784 tokens | train_loss=3.3192 | val_loss=3.3562
14000062464 tokens | train_loss=3.2413 | val_loss=3.3459
14500036608 tokens | train_loss=3.4889 | val_loss=3.3207
15000010752 tokens | train_loss=3.2579 | val_loss=3.5231
15500050432 tokens | train_loss=3.4207 | val_loss=3.5974
16000024576 tokens | train_loss=3.4691 | val_loss=3.7202
16500064256 tokens | train_loss=3.9402 | val_loss=3.4457
17000038400 tokens | train_loss=3.2143 | val_loss=3.6118
17500012544 tokens | train_loss=3.1010 | val_loss=3.6600
18000052224 tokens | train_loss=3.5555 | val_loss=3.7009
18500026368 tokens | train_loss=3.6056 | val_loss=3.7310
19000000512 tokens | train_loss=3.3500 | val_loss=3.7472
19500040192 tokens | train_loss=3.3579 | val_loss=3.7553
20000014336 tokens | train_loss=3.9857 | val_loss=3.6134
20500054016 tokens | train_loss=3.1566 | val_loss=3.2124
21000028160 tokens | train_loss=3.1829 | val_loss=3.2012
21500002304 tokens | train_loss=3.0627 | val_loss=3.2218
22000041984 tokens | train_loss=3.9895 | val_loss=3.1828
22500016128 tokens | train_loss=3.1253 | val_loss=3.2455
23000055808 tokens | train_loss=3.0934 | val_loss=3.1973
23500029952 tokens | train_loss=3.2829 | val_loss=3.1877
24000004096 tokens | train_loss=3.7372 | val_loss=3.1995
24500043776 tokens | train_loss=3.2541 | val_loss=3.1662
25000017920 tokens | train_loss=3.1844 | val_loss=3.1375
25500057600 tokens | train_loss=3.6943 | val_loss=3.1639
26000031744 tokens | train_loss=3.3244 | val_loss=3.1561
26500005888 tokens | train_loss=3.1945 | val_loss=3.1560
27000045568 tokens | train_loss=3.1950 | val_loss=3.1775
27500019712 tokens | train_loss=3.7092 | val_loss=3.1499
28000059392 tokens | train_loss=3.1762 | val_loss=3.1592
28500033536 tokens | train_loss=3.2225 | val_loss=3.1236
29000007680 tokens | train_loss=3.0296 | val_loss=3.1555
29500047360 tokens | train_loss=4.0312 | val_loss=3.1560
30000021504 tokens | train_loss=3.5430 | val_loss=3.1808
30500061184 tokens | train_loss=3.2079 | val_loss=3.1954
31000035328 tokens | train_loss=3.1713 | val_loss=3.1700
31500009472 tokens | train_loss=3.1824 | val_loss=3.1733
32000049152 tokens | train_loss=3.1195 | val_loss=3.1700
32500023296 tokens | train_loss=3.2492 | val_loss=3.1752
33000062976 tokens | train_loss=3.0931 | val_loss=3.1870
33500037120 tokens | train_loss=2.9800 | val_loss=2.9221
34000011264 tokens | train_loss=3.3286 | val_loss=3.0557
34500050944 tokens | train_loss=2.9725 | val_loss=3.1122
35000025088 tokens | train_loss=3.2057 | val_loss=3.1644
35500064768 tokens | train_loss=3.5478 | val_loss=3.1360
36000038912 tokens | train_loss=3.0614 | val_loss=3.1611
36500013056 tokens | train_loss=3.0810 | val_loss=3.1478
37000052736 tokens | train_loss=3.0167 | val_loss=3.1494
37500026880 tokens | train_loss=3.4002 | val_loss=3.1269
38000001024 tokens | train_loss=3.1146 | val_loss=3.1542
38500040704 tokens | train_loss=3.1274 | val_loss=3.1285
39000014848 tokens | train_loss=3.0364 | val_loss=3.1641
39500054528 tokens | train_loss=3.4785 | val_loss=3.0107
40000028672 tokens | train_loss=3.2314 | val_loss=3.0661
40500002816 tokens | train_loss=2.9805 | val_loss=3.1199
41000042496 tokens | train_loss=3.1605 | val_loss=3.1165
41500016640 tokens | train_loss=3.3472 | val_loss=3.1443
42000056320 tokens | train_loss=3.0323 | val_loss=3.1283
42500030464 tokens | train_loss=3.1373 | val_loss=3.1247
43000004608 tokens | train_loss=3.3001 | val_loss=3.1117
43500044288 tokens | train_loss=3.2949 | val_loss=3.1059
44000018432 tokens | train_loss=3.1084 | val_loss=3.0957
44500058112 tokens | train_loss=3.2950 | val_loss=3.1485
45000032256 tokens | train_loss=3.3225 | val_loss=3.1448
45500006400 tokens | train_loss=3.5003 | val_loss=3.1030
46000046080 tokens | train_loss=3.0277 | val_loss=3.1283
46500020224 tokens | train_loss=3.0682 | val_loss=3.1262
47000059904 tokens | train_loss=3.5086 | val_loss=3.3356
47500034048 tokens | train_loss=3.2285 | val_loss=3.5779
48000008192 tokens | train_loss=3.0873 | val_loss=3.5897
48500047872 tokens | train_loss=3.0773 | val_loss=3.5855
49000022016 tokens | train_loss=3.2811 | val_loss=3.5177
49500061696 tokens | train_loss=3.0207 | val_loss=3.5454
50000035840 tokens | train_loss=3.1535 | val_loss=3.5863
50500009984 tokens | train_loss=2.9561 | val_loss=3.5705
51000049664 tokens | train_loss=3.6841 | val_loss=3.5017
51500023808 tokens | train_loss=2.9705 | val_loss=3.5821
52000063488 tokens | train_loss=3.1439 | val_loss=3.5787
52500037632 tokens | train_loss=2.8929 | val_loss=3.5830
53000011776 tokens | train_loss=3.7622 | val_loss=3.4977
53500051456 tokens | train_loss=3.9966 | val_loss=3.6100
54000025600 tokens | train_loss=3.1121 | val_loss=3.5842
54500065280 tokens | train_loss=3.0734 | val_loss=3.5678
55000039424 tokens | train_loss=3.3811 | val_loss=3.4973
55500013568 tokens | train_loss=2.9608 | val_loss=3.5544
56000053248 tokens | train_loss=2.8972 | val_loss=3.5668
56500027392 tokens | train_loss=3.5951 | val_loss=3.4710
57000001536 tokens | train_loss=3.4651 | val_loss=3.4921
57500041216 tokens | train_loss=3.0788 | val_loss=3.5471
58000015360 tokens | train_loss=3.1783 | val_loss=3.5534
58500055040 tokens | train_loss=3.5695 | val_loss=3.4821
59000029184 tokens | train_loss=3.4495 | val_loss=3.4893
59500003328 tokens | train_loss=2.9176 | val_loss=3.5436
60000043008 tokens | train_loss=3.1254 | val_loss=3.5565
60500017152 tokens | train_loss=3.4038 | val_loss=3.4683
61000056832 tokens | train_loss=2.9840 | val_loss=3.5627
61500030976 tokens | train_loss=2.9026 | val_loss=3.5513
62000005120 tokens | train_loss=2.9940 | val_loss=3.5430
62500044800 tokens | train_loss=3.3472 | val_loss=3.4689
63000018944 tokens | train_loss=2.9314 | val_loss=3.5551
63500058624 tokens | train_loss=3.0323 | val_loss=3.5631
64000032768 tokens | train_loss=2.9462 | val_loss=3.5421
64500006912 tokens | train_loss=3.1221 | val_loss=3.5347
65000046592 tokens | train_loss=2.9621 | val_loss=3.5244
65500020736 tokens | train_loss=3.1494 | val_loss=3.5368
66000060416 tokens | train_loss=2.8474 | val_loss=3.7650
66500034560 tokens | train_loss=3.2955 | val_loss=3.4632
67000008704 tokens | train_loss=3.0242 | val_loss=3.5475
67500048384 tokens | train_loss=2.9972 | val_loss=3.5182
68000022528 tokens | train_loss=3.8141 | val_loss=3.0501
68500062208 tokens | train_loss=2.9848 | val_loss=3.1430
69000036352 tokens | train_loss=3.0726 | val_loss=3.3911
69500010496 tokens | train_loss=2.9935 | val_loss=3.2773
70000050176 tokens | train_loss=3.4299 | val_loss=3.2245
70500024320 tokens | train_loss=3.3784 | val_loss=3.2199
71000064000 tokens | train_loss=2.8627 | val_loss=3.2372
71500038144 tokens | train_loss=2.9257 | val_loss=3.2646
72000012288 tokens | train_loss=3.2955 | val_loss=3.0932
72500051968 tokens | train_loss=2.9620 | val_loss=3.1691
73000026112 tokens | train_loss=3.4827 | val_loss=3.2376
73500000256 tokens | train_loss=2.9735 | val_loss=3.2069
74000039936 tokens | train_loss=3.3640 | val_loss=3.0382
74500014080 tokens | train_loss=2.9211 | val_loss=3.2278
75000053760 tokens | train_loss=2.9057 | val_loss=3.2450
75500027904 tokens | train_loss=3.0581 | val_loss=2.6302
